regime	mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	selplast	taskil	sgd	w_absmax	live	42	0.981673	0.002554	0.211500	0.042500	0.057500	0.300000	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	grad_norm	live	42	0.977447	0.003259	0.211500	0.500000	0.477500	0.600000	0.000000	160.000000	478410.000000	810.000000	0.001700	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	grad_norm_layer	live	42	0.977536	0.003384	0.211500	0.500000	0.477500	0.600000	0.000000	160.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	grad_weight_ratio	live	42	0.981249	0.002364	0.211500	0.500000	0.477500	0.600000	0.000000	160.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	step_norm	live	42	0.977741	0.003179	0.211500	0.500000	0.477469	0.600000	0.000000	1.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	state01	live	42	0.980882	0.004165	0.460300	0.025000	0.020000	0.100000	0.024083	0.000000	478410.000000	4860.000000	0.010200	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	lossmod	classil	adam	act_frac	live	42	0.897570	0.097179	0.456400	0.000000	0.000000	0.003484	0.036328	0.000000	478410.000000	10.000000	0.000000	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	act_norm	live	42	0.894849	0.099799	0.395200	0.000000	0.000000	0.018152	0.249679	0.000000	478410.000000	10.000000	0.000000	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	act_entropy	live	42	0.898587	0.096168	0.475400	0.000000	0.000000	0.006721	0.025747	0.000000	478410.000000	10.000000	0.000000	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	act_pr	live	42	0.894624	0.099945	0.523500	0.000000	0.000000	0.001971	0.028065	0.000000	478410.000000	10.000000	0.000000	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	w_fro	live	42	0.900920	0.094035	0.211500	0.000000	0.000000	0.000839	0.000000	0.000000	478410.000000	15.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	w_l1	live	42	0.899928	0.095133	0.211500	0.000000	0.000000	0.000510	0.000000	0.000000	478410.000000	15.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	w_absmean	live	42	0.901521	0.093030	0.211500	0.000000	0.000000	0.000493	0.000000	0.000000	478410.000000	15.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	w_absmax	live	42	0.894748	0.099589	0.211500	0.000000	0.000000	0.005006	0.000000	0.000000	478410.000000	15.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	grad_norm	live	42	0.898012	0.096320	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	5.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	grad_norm_layer	live	42	0.896731	0.097701	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	15.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	grad_weight_ratio	live	42	0.895659	0.098281	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	15.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	step_norm	live	42	0.900276	0.094796	0.211500	0.000000	0.000000	0.000004	0.000000	1.000000	478410.000000	15.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	lossmod	classil	adam	state01	live	42	0.905067	0.089492	0.623500	0.000000	0.000000	0.012831	0.026439	0.000000	478410.000000	30.000000	0.000100	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	act_frac	live	42	0.919368	0.064202	0.304000	0.110946	0.119697	0.218950	0.032212	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	act_norm	live	42	0.916888	0.068380	0.425700	0.232256	0.262610	0.502350	0.220674	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	1.000000	0.000000
